x,y
10.64,5.72
11.33,6.21
7.24,11.88
8.35,11.18
4.86,6.04
4.49,5.3
7.46,11.8
9.61,5.8
5.5,4.9
5.58,5.08
7.68,12.32
8.52,12.86
6.9,7.3
2.44,7.68
4.5,12.0
3.99,11.62
6.32,8.19
10.01,5.28
5.0,5.18
12.08,6.54
4.18,12.09
5.08,6.6
1.95,8.51
5.2,4.71
8.1,11.8
1.25,9.72
11.36,10.15
9.7,5.3
6.86,6.72
4.09,11.4
6.78,6.68
11.12,11.68
5.87,5.67
8.26,11.87
11.85,10.88
10.54,4.97
11.68,9.22
4.4,4.57
5.63,6.62
6.13,8.49
10.8,9.86
5.76,5.47
2.9,8.35
7.84,7.77
10.22,5.4
4.03,5.34
8.2,12.38
5.84,5.88
5.39,3.38
10.01,3.96
6.77,11.88
11.27,4.25
10.52,11.16
10.79,3.76
4.94,5.86
11.16,11.89
6.96,9.04
11.13,5.12
6.92,11.08
11.18,5.47
10.64,6.67
10.14,6.14
6.42,7.91
8.61,8.0
6.35,8.45
8.34,7.66
4.53,5.04
5.5,5.92
1.56,8.59
8.27,12.32
9.49,7.23
4.43,4.92
10.32,9.8
6.64,8.91
3.02,12.5
5.29,3.33
10.28,3.56
9.99,4.74
2.8,12.52
10.96,10.64
4.45,5.82
8.38,7.87
4.21,11.8
5.36,6.15
11.62,9.22
4.91,4.25
8.58,11.84
1.42,7.58
11.11,6.22
8.21,7.64
6.64,7.94
10.51,4.92
3.64,13.98
13.44,1.94
7.36,7.28
8.47,7.44
11.0,9.75
7.17,7.81
7.54,12.74
8.28,8.18
7.28,8.62
5.64,5.04
8.3,8.1
1.41,9.14
6.46,7.94
1.25,9.73
7.88,9.2
7.18,8.22
10.4,4.5
7.58,11.29
3.3,13.72
6.91,13.62
6.79,8.32
11.0,4.97
9.2,5.38
11.28,4.7
5.49,3.99
7.22,12.45
9.07,8.56
6.92,12.9
4.78,4.74
10.72,9.72
7.5,8.72
2.02,8.48
4.37,12.97
8.12,10.94
9.2,7.02
4.2,13.12
2.38,7.72
7.84,8.98
5.4,4.08
10.48,11.64
4.36,4.66
10.6,10.72
10.12,3.83
11.24,6.36
4.75,4.29
8.76,8.82
10.15,4.86
8.52,12.84
4.78,4.88
1.25,9.01
4.14,11.86
5.8,4.78
5.34,4.32
4.4,12.31
8.12,7.62
7.28,8.82
10.32,6.22
7.25,7.7
5.44,4.86
10.88,6.6
11.07,5.23
7.24,8.86
10.98,10.94
10.24,4.66
10.91,9.91
6.8,7.76
4.0,12.1
4.76,11.44
7.6,11.33
7.36,11.56
1.48,10.06
5.0,12.94
4.18,4.6
8.92,8.46
4.7,11.8
8.41,6.58
3.16,13.02
10.43,3.67
7.08,7.65
8.52,13.74
4.32,11.23
7.36,7.32
10.76,10.48
10.32,4.38
6.08,6.11
6.48,7.98
6.68,12.96
6.7,8.24
6.68,7.66
10.72,4.16
6.81,13.05
2.61,7.29
7.84,6.88
7.84,9.04
9.32,5.36
7.09,12.06
3.7,13.22
2.26,9.43
10.5,4.08
13.9,6.14
10.78,10.0
5.54,6.12
1.75,8.16
11.18,9.18
7.78,7.3
5.39,5.68
1.74,9.94
7.94,12.15
5.83,3.62
6.94,7.62
3.49,12.58
5.34,4.07
2.86,8.1
10.82,5.32
3.06,8.0
9.76,5.57
